product_region	product_code	activity_region	activity_code	value_meur
DE	CPA_A01	DE	A01	46145.023
DE	CPA_A02	DE	A02	5435.477
DE	CPA_A03	DE	A03	579.0
DE	CPA_B	DE	B	8937.137
DE	CPA_B	DE	C16	11.97
DE	CPA_B	DE	C20	336.297
DE	CPA_B	DE	C23	335.287
DE	CPA_B	DE	C24	0.998
DE	CPA_B	DE	C26	1.006
DE	CPA_B	DE	C28	33.737
DE	CPA_B	DE	C33	19.679
DE	CPA_B	DE	F	138.756
DE	CPA_B	DE	G46	40.601
DE	CPA_C10-12	DE	A01	1333.274
DE	CPA_C10-12	DE	B	43.267
DE	CPA_C10-12	DE	C10-C12	172445.324
DE	CPA_C10-12	DE	C13-C15	1.997
DE	CPA_C10-12	DE	C17	287.032
DE	CPA_C10-12	DE	C20	604.546
DE	CPA_C10-12	DE	C21	397.732
DE	CPA_C10-12	DE	C23	1.996
DE	CPA_C10-12	DE	G46	731.853
DE	CPA_C10-12	DE	G47	249.528
DE	CPA_C10-12	DE	I	241.602
DE	CPA_C13-15	DE	C13-C15	20621.582
DE	CPA_C13-15	DE	C17	40.862
DE	CPA_C13-15	DE	C18	2.004
DE	CPA_C13-15	DE	C20	159.766
DE	CPA_C13-15	DE	C21	1.004
DE	CPA_C13-15	DE	C22	390.986
DE	CPA_C13-15	DE	C23	62.866
DE	CPA_C13-15	DE	C25	28.855
DE	CPA_C13-15	DE	C28	9.923
DE	CPA_C13-15	DE	C29	127.799
DE	CPA_C13-15	DE	C30	0.99
DE	CPA_C13-15	DE	C31_C32	103.721
DE	CPA_C13-15	DE	C33	0.984
DE	CPA_C13-15	DE	G46	97.858
DE	CPA_C13-15	DE	G47	1.023
DE	CPA_C16	DE	A02	906.435
DE	CPA_C16	DE	C13-C15	8.986
DE	CPA_C16	DE	C16	23243.717
DE	CPA_C16	DE	C17	127.57
DE	CPA_C16	DE	C18	1.002
DE	CPA_C16	DE	C20	42.407
DE	CPA_C16	DE	C22	255.338
DE	CPA_C16	DE	C23	0.998
DE	CPA_C16	DE	C25	137.311
DE	CPA_C16	DE	C26	1.006
DE	CPA_C16	DE	C27	4.003
DE	CPA_C16	DE	C28	6.946
DE	CPA_C16	DE	C31_C32	88.762
DE	CPA_C16	DE	C33	6.888
DE	CPA_C16	DE	F	70.341
DE	CPA_C17	DE	C10-C12	2.973
DE	CPA_C17	DE	C13-C15	22.964
DE	CPA_C17	DE	C16	81.798
DE	CPA_C17	DE	C17	34966.023
DE	CPA_C17	DE	C18	150.278
DE	CPA_C17	DE	C20	11.835
DE	CPA_C17	DE	C22	345.105
DE	CPA_C17	DE	C24	42.905
DE	CPA_C17	DE	C25	10.945
DE	CPA_C17	DE	C26	1.006
DE	CPA_C17	DE	C28	5.954
DE	CPA_C17	DE	C31_C32	0.997
DE	CPA_C17	DE	G46	271.712
DE	CPA_C18	DE	C13-C15	2.995
DE	CPA_C18	DE	C17	89.697
DE	CPA_C18	DE	C18	18744.614
DE	CPA_C18	DE	C22	84.78
DE	CPA_C18	DE	C23	6.985
DE	CPA_C18	DE	C24	1.996
DE	CPA_C18	DE	C25	7.96
DE	CPA_C18	DE	C26	298.87
DE	CPA_C18	DE	C27	3.002
DE	CPA_C18	DE	C28	3.969
DE	CPA_C18	DE	G46	4.164
DE	CPA_C18	DE	M72	136.696
DE	CPA_C19	DE	B	197.217
DE	CPA_C19	DE	C19	41222.448
DE	CPA_C19	DE	C20	897.45
DE	CPA_C19	DE	C23	4.989
DE	CPA_C19	DE	C24	462.976
DE	CPA_C19	DE	G46	5.205
DE	CPA_C19	DE	H50	346.69
DE	CPA_C20	DE	B	71.441
DE	CPA_C20	DE	C10-C12	1053.363
DE	CPA_C20	DE	C13-C15	14.976
DE	CPA_C20	DE	C16	30.924
DE	CPA_C20	DE	C17	168.432
DE	CPA_C20	DE	C19	2724.901
DE	CPA_C20	DE	C20	109366.561
DE	CPA_C20	DE	C21	1878.178
DE	CPA_C20	DE	C22	475.766
DE	CPA_C20	DE	C23	221.529
DE	CPA_C20	DE	C24	570.737
DE	CPA_C20	DE	C25	105.471
DE	CPA_C20	DE	C26	293.839
DE	CPA_C20	DE	C27	49.033
DE	CPA_C20	DE	C28	84.344
DE	CPA_C20	DE	C31_C32	370.006
DE	CPA_C20	DE	C33	8.856
DE	CPA_C20	DE	G46	547.588
DE	CPA_C21	DE	C10-C12	64.411
DE	CPA_C21	DE	C13-C15	37.94
DE	CPA_C21	DE	C17	9.966
DE	CPA_C21	DE	C20	2165.714
DE	CPA_C21	DE	C21	30377.266
DE	CPA_C21	DE	C22	30.92
DE	CPA_C21	DE	C28	5.954
DE	CPA_C21	DE	C31_C32	265.287
DE	CPA_C21	DE	G46	114.515
DE	CPA_C22	DE	C10-C12	32.701
DE	CPA_C22	DE	C13-C15	304.521
DE	CPA_C22	DE	C16	139.656
DE	CPA_C22	DE	C17	203.314
DE	CPA_C22	DE	C18	14.026
DE	CPA_C22	DE	C20	1048.339
DE	CPA_C22	DE	C21	3.013
DE	CPA_C22	DE	C22	69004.974
DE	CPA_C22	DE	C23	309.342
DE	CPA_C22	DE	C24	80.821
DE	CPA_C22	DE	C25	1367.138
DE	CPA_C22	DE	C26	40.252
DE	CPA_C22	DE	C27	222.151
DE	CPA_C22	DE	C28	755.123
DE	CPA_C22	DE	C29	541.673
DE	CPA_C22	DE	C30	20.798
DE	CPA_C22	DE	C31_C32	185.502
DE	CPA_C22	DE	C33	24.599
DE	CPA_C22	DE	G46	187.388
DE	CPA_C23	DE	B	448.769
DE	CPA_C23	DE	C10-C12	1.982
DE	CPA_C23	DE	C13-C15	13.978
DE	CPA_C23	DE	C16	9.975
DE	CPA_C23	DE	C17	27.906
DE	CPA_C23	DE	C20	212.035
DE	CPA_C23	DE	C22	141.633
DE	CPA_C23	DE	C23	40593.661
DE	CPA_C23	DE	C24	7.982
DE	CPA_C23	DE	C25	28.855
DE	CPA_C23	DE	C26	1.006
DE	CPA_C23	DE	C27	20.014
DE	CPA_C23	DE	C28	74.421
DE	CPA_C23	DE	C29	81.595
DE	CPA_C23	DE	C30	2.971
DE	CPA_C23	DE	C31_C32	12.965
DE	CPA_C23	DE	C33	0.984
DE	CPA_C23	DE	F	846.988
DE	CPA_C23	DE	G46	161.362
DE	CPA_C24	DE	C20	678.511
