from_type	to_type	value_meur
activity	activity	0.0
activity	commodity	3.2802822703516353e7
activity	final_demand	0.0
activity	satellite	0.0
activity	external	0.0
commodity	activity	1.4815290935471416e7
commodity	commodity	0.0
commodity	final_demand	1.5360495564066129e7
commodity	satellite	0.0
commodity	external	2.62703620397874e6
final_demand	activity	0.0
final_demand	commodity	0.0
final_demand	final_demand	0.0
final_demand	satellite	0.0
final_demand	external	0.0
satellite	activity	1.6622577255000005e7
satellite	commodity	0.0
satellite	final_demand	1.3525361200000003e6
satellite	satellite	0.0
satellite	external	0.0
external	activity	1.3648747662970298e6
external	commodity	0.0
external	final_demand	696788.4080744396
external	satellite	0.0
external	external	0.0
